Vendor,البائع
Customer,العميل
About Us,معلومات عنا
Contact Us,اتصل بنا
Sign In,تسجيل الدخول
Sign Up,إنشاء حساب
Logout,تسجيل الخروج
List Products,قائمة المنتجات
Vendor Dashboard,لوحة تحكم البائع
Request for Quotes (RFQ),طلب عروض الأسعار
HS Code,رمز النظام المنسق
Join as a Customer,انضم كعميل

Logo and certificates,الشعار والشهادات
Vendor Id,معرف البائع
Business Name,اسم العمل
Business Type,نوع العمل
Previous Step,الخطوة السابقة
Next Step,الخطوة التالية
I agree to the Seller Registration Agreement,أوافق على اتفاقية تسجيل البائع
Create Seller Account,إنشاء حساب البائع

Get the Latest GCC Trade Updates,احصل على أحدث تحديثات التجارة في مجلس التعاون الخليجي
Get the latest trade news and event updates delivered straight to your inbox,احصل على أحدث أخبار التجارة وتحديثات الفعاليات مباشرة في بريدك الإلكتروني
Enter your email address,أدخل عنوان بريدك الإلكتروني
Subscribe,اشترك

Your Trusted Directory for,دليلك الموثوق لـ
GCC Trading,تجارة دول مجلس التعاون الخليجي
Find Global Vendors & Products in the GCC,ابحث عن البائعين والمنتجات العالمية في دول مجلس التعاون الخليجي
Search,بحث

English,الإنجليزية
Arabic,العربية

'Password Strength','قوة كلمة المرور'
Explore Key Industrial Sectors,استكشاف القطاعات الصناعية الرئيسية
Discover suppliers and products across various industries to meet your business needs efficiently,اكتشف الموردين والمنتجات عبر مختلف الصناعات لتلبية احتياجات عملك بكفاءة

Search for vendors or products,ابحث عن الموردين أو المنتجات



Pages,الصفحات
Vendors,البائعون
Customers,العملاء
About Us,معلومات عنا
Contact Us,اتصل بنا
Services,الخدمات
Request for quotes,طلب عرض أسعار
HS Code,رمز النظام المنسق
Support & Contact,الدعم والتواصل
Help Center,مركز المساعدة
Feedback,ملاحظات
Connect,تواصل
Instagram,إنستغرام
Facebook,فيسبوك
Twitter / X,تويتر / إكس
LinkedIn,لينكد إن

Terms of use,شروط الاستخدام
Privacy policy,سياسة الخصوصية
Security,الأمان
All rights reserved,جميع الحقوق محفوظة
GCC Trading,تجارة دول مجلس التعاون الخليجي

New Message,رسالة جديدة
Recipient,متلقي

Product Description,وصف المنتج
Product Variation,اختلاف المنتج
Color,لون
size,مقاس
Product Details,تفاصيل المنتج
Product Specification,مواصفات المنتج
Packing,التعبئة
Shipping,شحن
Packing & Shipping,التعبئة والشحن
Visit Website,زيارة الموقع
Reviews,التعليقات
Product Description,وصف المنتج
Similar Products,منتجات مماثلة
Add To Quote,أضف إلى عرض السعر
Home,الرئيسية
Product,منتج
Contact Vendor,اتصل بالمورد
No configurable attributes found,لم يتم العثور على سمات قابلة للتكوين
pcs,قطع
Packing and shipping information goes here,معلومات التعبئة والشحن تجدها هنا

Home,الرئيسية
Vendors,البائعون
About,معلومات عن البائع
Products,المنتجات
Contact Info,معلومات الاتصال
Certificates,الشهادات
Catalog,الكتالوج
Location,الموقع
Reviews,المراجعات
ABOUT,عن البائع
PRODUCTS,المنتجات
Add to Wishlist,أضف إلى المفضلة
Add to Quote,أضف إلى عرض السعر
No products found for this vendor.,لم يتم العثور على منتجات لهذا البائع.
No Logo,لا يوجد شعار
No Banner Available,لا توجد صورة غلاف
/ 1 pcs,/ 1 قطعة
REVIEWS,المراجعات
Reviews content goes here.,يتم عرض محتوى المراجعات هنا.
LOCATION,الموقع
Location content goes here.,يتم عرض محتوى الموقع هنا.
CATALOG,الكتالوج
Catalog content goes here.,يتم عرض محتوى الكتالوج هنا.
No certificates available.,لا توجد شهادات متاحة.
Download Certificate,تحميل الشهادة
CERTIFICATES,الشهادات
Address:,العنوان:
Phone:,الهاتف:
Email:,البريد الإلكتروني:
Contact Name:,اسم جهة الاتصال:
CONTACT,تواصل





Connecting Global and Local Vendors with Buyers for Efficient Trade in the Gulf,ربط الموردين العالميين والمحليين بالمشترين لتجارة فعالة في الخليج
Who We Are?,من نحن؟
Our Vision,رؤيتنا
Our Mission,مهمتنا
Why Choose Us?,لماذا تختارنا؟
Vendors,الموردون
Buyers,المشترون
Products,المنتجات
Countries,الدول
Trade Platform,منصة التجارة

Business Type,نوع النشاط التجاري
Filter,فلتر

'If you have an account,إذا كان لديك حساب، قم بتسجيل الدخول باستخدام بريدك الإلكتروني,'إذا كان لديك حساب، قم بتسجيل الدخول باستخدام عنوان بريدك الإلكتروني'

All,الكل,module,Magento_AdminGws,,,,
None,لا شئ,module,Magento_AdminGws,,,,
Allowed Scopes,النطاقات المسموح بها,module,Magento_AdminGws,,,,
"More permissions are needed to delete the ""%1"" item.","تحتاج إلى مزيد من الصلاحيات لحذف العنصر ""%1"".",module,Magento_AdminGws,,,,
You need more permissions to apply some of the rule updates.,تحتاج إلى مزيد من الصلاحيات لتطبيق بعض تحديثات القاعدة.,module,Magento_AdminGws,,,,
More permissions are needed to view this item.,تحتاج إلى مزيد من الصلاحيات لحذف هذا العنصر.,module,Magento_AdminGws,,,,
This entity needs to be assigned to a store view. Verify the entity assignment and try again.,هذا الكيان يجب تعيينه إلى طريقة عرض متجر. تحقق من تعيين الكيان وحاول مرة أخرى.,module,Magento_AdminGws,,,,
"This item needs to be assigned to a store view.,module,Magento_AdminGws
Please select a website for this product in ""Product in Websites"".","يجب تعيين هذا العنصر لعرض المتجر.,module,Magento_AdminGws
يرجى تحديد الموقع لهذا المنتج في ""المنتج في الموقع"".",module,Magento_AdminGws,,,,
Orders can only be completed in an active store. Verify the store and try again.,يمكن إكمال الطلبات فقط في متجر نشط. تحقق من المتجر وحاول مرة أخرى.,module,Magento_AdminGws,,,,
This item needs to be assigned to a store view. Assign item and try again.,يجب تعيين هذا العنصر لعرض المتجر. قم بتعيين العنصر وحاول مرة أخرى.,module,Magento_AdminGws,,,,
More permissions are needed to save this item.,يلزم مزيد من الصلاحيات لحفظ هذا العنصر.,module,Magento_AdminGws,,,,
More permissions are needed to delete this item.,تحتاج إلى مزيد من الصلاحيات لحذف هذا العنصر.,module,Magento_AdminGws,,,,
At least one website or store group needs to be selected. Select and try again.,يجب تحديد موقع واحد على الأقل أو مجموعة متاجر. حدد وحاول مرة أخرى.,module,Magento_AdminGws,,,,
More permissions are needed to set All Scopes to a Role.,تحتاج إلى مزيد من الصلاحيات لتعيين جميع النطاقات في دور.,module,Magento_AdminGws,,,,
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","رمز موقع ""%1"" غير صحيح. تحقق من رمز الموقع وحاول مرة أخرى.",module,Magento_AdminGws,,,,
"You need more permissions to access website ""%1"".","تحتاج لمزيد من الصلاحيات للوصول إلى الموقع ""%1"".",module,Magento_AdminGws,,,,
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","معرف المتجر ""%1"" غير صحيح. تحقق من معرف المتجر وحاول مرة أخرى.",module,Magento_AdminGws,,,,
More permissions are needed to save this setting.,هناك حاجة إلى مزيد من الصلاحيات لحفظ هذا الإعداد.,module,Magento_AdminGws,,,,
Role Scopes,نطاقات الدور,module,Magento_AdminGws,,,,
Custom,مخصص,module,Magento_AdminGws,,,,
Read Details,قراءة التفاصيل,module,Magento_AdminNotification,,,,
Mark as Read,تعيين كمقروء,module,Magento_AdminNotification,,,,
Are you sure?,هل أنت متأكد؟,module,Magento_AdminNotification,,,,
Remove,ازالة,module,Magento_AdminNotification,,,,
Messages Inbox,الرسائل الواردة,module,Magento_AdminNotification,,,,
You have %1 new system messages,لديك %1 من رسائل النظام الجديدة,module,Magento_AdminNotification,,,,
You have %1 new system message,لديك %1 رسالة نظام جديدة,module,Magento_AdminNotification,,,,
Incoming Message,رسالة واردة,module,Magento_AdminNotification,,,,
close,إغلاق,module,Magento_AdminNotification,,,,
Notifications,اشعارات,module,Magento_AdminNotification,,,,
The message has been marked as Read.,تم وضع علامة مقروءة على الرسالة.,module,Magento_AdminNotification,,,,
We couldn't mark the notification as Read because of an error.,بسبب خطأ ما لم يتم وضع علامة قراءة الاشعار.,module,Magento_AdminNotification,,,,
Please select messages.,الرجاء تحديد الرسائل.,module,Magento_AdminNotification,,,,
A total of %1 record(s) have been marked as Read.,لقد تم وضع علامة مقروء على %1 من المحفوظات.,module,Magento_AdminNotification,,,,
Total of %1 record(s) have been removed.,لقد تم ازالة %1 من المحفوظات.,module,Magento_AdminNotification,,,,
We couldn't remove the messages because of an error.,لم يتم ازالة الرسائل بسبب حدوث خطأ.,module,Magento_AdminNotification,,,,
The message has been removed.,تم حذف الرسالة.,module,Magento_AdminNotification,,,,
You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.,لقد قمت برؤية جميع إشعارات النظام الأخيرة وحلها. يرجى تحديث صفحة الويب لمسح تنبيه الإشعار.,module,Magento_AdminNotification,,,,
1 Hour,ساعة واحدة,module,Magento_AdminNotification,,,,
2 Hours,ساعتان,module,Magento_AdminNotification,,,,
6 Hours,6 ساعات,module,Magento_AdminNotification,,,,
12 Hours,12 ساعة,module,Magento_AdminNotification,,,,
24 Hours,24 ساعة,module,Magento_AdminNotification,,,,
critical,حرج,module,Magento_AdminNotification,,,,
major,مهم,module,Magento_AdminNotification,,,,
minor,ثانوي,module,Magento_AdminNotification,,,,
notice,إشعار,module,Magento_AdminNotification,,,,
Wrong message type,نوع رسالة خاطئ,module,Magento_AdminNotification,,,,
Wrong notification ID specified.,معرف الإشعار المحدد خاطئ.,module,Magento_AdminNotification,,,,
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","لا ينصح باستخدام {{base_url}} في بيئة الإنتاج لتوضيح Unsecure ' 'URL / Base Secure URL. نوصي بشدة بتغيير هذه القيمة في ماجنتو الخاص بك ' '<a href=""%1"">configuration</a>.",module,Magento_AdminNotification,,,,
One or more of the Cache Types are invalidated: %1. ,"تم ابطال واحد أو أكثر من ""أنواع ذاكرة التخزين المؤقت"": %1. ",module,Magento_AdminNotification,,,,
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","الرجاء الانتقال إلى <a href=""%1""> إدارة ذاكرة التخزين المؤقت</a> واعدة تنشيطها.",module,Magento_AdminNotification,,,,
We were unable to synchronize one or more media files. Please refer to the log file for details.,لم نستطع موافقة واحد أو أكثر من ملفات الوسائط. الرجاء الرجوع إلى ملف السجل للحصول على التفاصيل.,module,Magento_AdminNotification,,,,
Synchronization of media storages has been completed.,اكتملت مواففة وسائط التخزين.,module,Magento_AdminNotification,,,,
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,قاعدة بيانات الأنترنت الخاصة بك معدة بشكل غير صحيح، وتسمح بدخول غير المصرح به إلى الملفات الحساسة. الرجاء الاتصال بموفر خدمة الاستضافة.,module,Magento_AdminNotification,,,,
System Messages:,رسائل النظام:,module,Magento_AdminNotification,,,,
Critical System Messages,رسائل النظام خطيرة,module,Magento_AdminNotification,,,,
Major System Messages,رسائل النظام مهمة,module,Magento_AdminNotification,,,,
System messages,رسائل النظام,module,Magento_AdminNotification,,,,
Close,إغلاق,module,Magento_AdminNotification,,,,
See All (,انظر (جميع,module,Magento_AdminNotification,,,,
 unread), غير مقروء),module,Magento_AdminNotification,,,,
System Messages,رسائل النظام,module,Magento_AdminNotification,,,,
Show Toolbar,إظهار شريط الأدوات,module,Magento_AdminNotification,,,,
Show List,إظهار القائمة,module,Magento_AdminNotification,,,,
Use HTTPS to Get Feed,استخدام HTTPS للحصول على تغذية,module,Magento_AdminNotification,,,,
Update Frequency,تردد التحديث,module,Magento_AdminNotification,,,,
Last Update,آخر تحديث,module,Magento_AdminNotification,,,,
Severity,خطورة,module,Magento_AdminNotification,,,,
Date Added,اضافة تاريخ,module,Magento_AdminNotification,,,,
Message,رسالة,module,Magento_AdminNotification,,,,
Actions,اعمال,module,Magento_AdminNotification,,,,
Manage Shopping Cart,إدارة سلة التسوق,module,Magento_AdvancedCheckout,,,,
Create Order,إنشاء طلب,module,Magento_AdvancedCheckout,,,,
Back,رجوع,module,Magento_AdvancedCheckout,,,,
Add Products,إضافة منتجات,module,Magento_AdvancedCheckout,,,,
Update Items and Quantities,تحديث الأصناف والكميات,module,Magento_AdvancedCheckout,,,,
Are you sure you want to clear your cart?,هل أنت متأكد من أنك تريد إفراغ عربة التسوق؟,module,Magento_AdvancedCheckout,,,,
Clear my shopping cart,إفراغ سلة التسوق,module,Magento_AdvancedCheckout,,,,
Add selections to my cart,إضافة الخيارات للسلة,module,Magento_AdvancedCheckout,,,,
Cancel,إلغاء,module,Magento_AdvancedCheckout,,,,
Shopping Cart for %1 in %2,سلة التسوق ل %1 في %2,module,Magento_AdvancedCheckout,,,,
Select products you want to buy,اخترالمنتجات التي تريد شراءها,module,Magento_AdvancedCheckout,,,,
Product,المنتج,module,Magento_AdvancedCheckout,,,,
Price,السعر,module,Magento_AdvancedCheckout,,,,
Quantity,الكمية,module,Magento_AdvancedCheckout,,,,
Products in the Comparison List (%1),المنتجات في قائمة المقارنة (%1),module,Magento_AdvancedCheckout,,,,
